Station,Station Name,Year,Overall WQI,WQI FC,WQI Oxy,WQI pH,WQI TSS,WQI Temp,WQI TPN,WQI TP,WQI Turb,Location 1
16A070,Skokomish R nr Potlatch,1996,87,91,85,95,78,81,99,84,69,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,1997,86,78,84,77,85,90,99,72,80,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,1998,75,90,79,88,61,90,98,71,49,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,1999,87,88,80,88,75,95,100,79,71,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2000,95,93,86,96,84,90,100,84,87,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2001,95,94,85,98,100,83,100,90,98,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2002,94,89,84,94,88,84,100,83,86,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2003,85,88,85,93,73,86,100,72,67,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2004,70,84,80,92,56,68,100,45,46,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2005,67,74,82,92,53,82,98,60,50,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2006,92,85,84,82,92,88,100,99,90,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2007,89,80,88,83,92,86,100,95,89,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2008,89,89,87,75,85,94,100,88,78,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2009,94,88,87,90,90,90,100,91,86,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2010,86,93,85,95,79,88,100,78,74,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2011,70,94,91,96,48,88,100,46,44,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2012,88,80,92,96,94,88,100,97,91,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2013,93,81,92,97,90,90,100,95,89,"(47.3098, -123.1771)"
16A070,Skokomish R nr Potlatch,2014,97,98,92,95,100,94,100,98,100,"(47.3098, -123.1771)"
16C090,Duckabush R nr Brinnon,2015,92,97,94,90,79,85,98,89,81,"(47.684, -123.0116)"
16C090,Duckabush R nr Brinnon,2016,96,97,92,90,87,91,100,68,84,"(47.684, -123.0116)"
16C090,Duckabush R nr Brinnon,2017,78,90,91,74,70,96,96,58,61,"(47.684, -123.0116)"
16C090,Duckabush R nr Brinnon,2018,92,96,89,90,75,92,99,71,84,"(47.684, -123.0116)"

